r,Phi
0.0000000000e+00,-1.4390998983e+00
1.9996542543e-04,-nan
3.9993085086e-04,-4.7621802564e-01
5.9989627629e-04,-4.7621802278e-01
7.9986170172e-04,-4.7621801977e-01
9.9982712715e-04,-4.7621801637e-01
1.1997925526e-03,-4.7621801251e-01
1.3997579780e-03,-4.7621800817e-01
1.5997234034e-03,-4.7621800332e-01
1.7996888289e-03,-4.7621799796e-01
1.9996542543e-03,-4.7621799208e-01
2.1996196797e-03,-4.7621798568e-01
2.3995851052e-03,-4.7621797875e-01
2.5995505306e-03,-4.7621797130e-01
2.7995159560e-03,-4.7621796332e-01
2.9994813815e-03,-4.7621795481e-01
3.1994468069e-03,-4.7621794576e-01
3.3994122323e-03,-4.7621793619e-01
3.5993776577e-03,-4.7621792609e-01
3.7993430832e-03,-4.7621791545e-01
3.9993085086e-03,-4.7621790428e-01
4.1992739340e-03,-4.7621789257e-01
4.3992393595e-03,-4.7621788033e-01
4.5992047849e-03,-4.7621786756e-01
4.7991702103e-03,-4.7621785425e-01
4.9991356358e-03,-4.7621784041e-01
5.1991010612e-03,-4.7621782603e-01
5.3990664866e-03,-4.7621781112e-01
5.5990319120e-03,-4.7621779567e-01
5.7989973375e-03,-4.7621777969e-01
5.9989627629e-03,-4.7621776317e-01
6.1989281883e-03,-4.7621774612e-01
6.3988936138e-03,-4.7621772853e-01
6.5988590392e-03,-4.7621771041e-01
6.7988244646e-03,-4.7621769175e-01
6.9987898901e-03,-4.7621767255e-01
7.1987553155e-03,-4.7621765282e-01
7.3987207409e-03,-4.7621763256e-01
7.5986861663e-03,-4.7621761175e-01
7.7986515918e-03,-4.7621759041e-01
7.9986170172e-03,-4.7621756854e-01
8.1985824426e-03,-4.7621754613e-01
8.3985478681e-03,-4.7621752318e-01
8.5985132935e-03,-4.7621749970e-01
8.7984787189e-03,-4.7621747568e-01
8.9984441444e-03,-4.7621745112e-01
9.1984095698e-03,-4.7621742603e-01
9.3983749952e-03,-4.7621740040e-01
9.5983404206e-03,-4.7621737424e-01
9.7983058461e-03,-4.7621734754e-01
9.9982712715e-03,-4.7621732030e-01
1.0198236697e-02,-4.7621729253e-01
1.0398202122e-02,-4.7621726422e-01
1.0598167548e-02,-4.7621723537e-01
1.0798132973e-02,-4.7621720599e-01
1.0998098399e-02,-4.7621717607e-01
1.1198063824e-02,-4.7621714562e-01
1.1398029250e-02,-4.7621711463e-01
1.1597994675e-02,-4.7621708310e-01
1.1797960100e-02,-4.7621705104e-01
1.1997925526e-02,-4.7621701844e-01
1.2197890951e-02,-4.7621698530e-01
1.2397856377e-02,-4.7621695162e-01
1.2597821802e-02,-4.7621691741e-01
1.2797787228e-02,-4.7621688267e-01
1.2997752653e-02,-4.7621684738e-01
1.3197718078e-02,-4.7621681156e-01
1.3397683504e-02,-4.7621677521e-01
1.3597648929e-02,-4.7621673832e-01
1.3797614355e-02,-4.7621670089e-01
1.3997579780e-02,-4.7621666292e-01
1.4197545206e-02,-4.7621662442e-01
1.4397510631e-02,-4.7621658538e-01
1.4597476056e-02,-4.7621654580e-01
1.4797441482e-02,-4.7621650569e-01
1.4997406907e-02,-4.7621646504e-01
1.5197372333e-02,-4.7621642386e-01
1.5397337758e-02,-4.7621638214e-01
1.5597303184e-02,-4.7621633988e-01
1.5797268609e-02,-4.7621629708e-01
1.5997234034e-02,-4.7621625375e-01
1.6197199460e-02,-4.7621620988e-01
1.6397164885e-02,-4.7621616548e-01
1.6597130311e-02,-4.7621612053e-01
1.6797095736e-02,-4.7621607506e-01
1.6997061162e-02,-4.7621602904e-01
1.7197026587e-02,-4.7621598249e-01
1.7396992012e-02,-4.7621593540e-01
1.7596957438e-02,-4.7621588778e-01
1.7796922863e-02,-4.7621583962e-01
1.7996888289e-02,-4.7621579092e-01
1.8196853714e-02,-4.7621574168e-01
1.8396819140e-02,-4.7621569191e-01
1.8596784565e-02,-4.7621564160e-01
1.8796749990e-02,-4.7621559076e-01
1.8996715416e-02,-4.7621553938e-01
1.9196680841e-02,-4.7621548746e-01
1.9396646267e-02,-4.7621543500e-01
1.9596611692e-02,-4.7621538201e-01
1.9796577118e-02,-4.7621532848e-01
1.9996542543e-02,-4.7621527442e-01
2.0196507968e-02,-4.7621521982e-01
2.0396473394e-02,-4.7621516468e-01
2.0596438819e-02,-4.7621510900e-01
2.0796404245e-02,-4.7621505279e-01
2.0996369670e-02,-4.7621499604e-01
2.1196335096e-02,-4.7621493876e-01
2.1396300521e-02,-4.7621488094e-01
2.1596265946e-02,-4.7621482258e-01
2.1796231372e-02,-4.7621476368e-01
2.1996196797e-02,-4.7621470425e-01
2.2196162223e-02,-4.7621464428e-01
2.2396127648e-02,-4.7621458378e-01
2.2596093074e-02,-4.7621452273e-01
2.2796058499e-02,-4.7621446116e-01
2.2996023924e-02,-4.7621439904e-01
2.3195989350e-02,-4.7621433639e-01
2.3395954775e-02,-4.7621427320e-01
2.3595920201e-02,-4.7621420947e-01
2.3795885626e-02,-4.7621414521e-01
2.3995851052e-02,-4.7621408041e-01
2.4195816477e-02,-4.7621401508e-01
2.4395781902e-02,-4.7621394920e-01
2.4595747328e-02,-4.7621388280e-01
2.4795712753e-02,-4.7621381585e-01
2.4995678179e-02,-4.7621374837e-01
2.5195643604e-02,-4.7621368035e-01
2.5395609030e-02,-4.7621361179e-01
2.5595574455e-02,-4.7621354270e-01
2.5795539880e-02,-4.7621347307e-01
2.5995505306e-02,-4.7621340290e-01
2.6195470731e-02,-4.7621333220e-01
2.6395436157e-02,-4.7621326096e-01
2.6595401582e-02,-4.7621318918e-01
2.6795367008e-02,-4.7621311687e-01
2.6995332433e-02,-4.7621304402e-01
2.7195297858e-02,-4.7621297063e-01
2.7395263284e-02,-4.7621289671e-01
2.7595228709e-02,-4.7621282225e-01
2.7795194135e-02,-4.7621274725e-01
2.7995159560e-02,-4.7621267172e-01
2.8195124986e-02,-4.7621259565e-01
2.8395090411e-02,-4.7621251904e-01
2.8595055836e-02,-4.7621244190e-01
2.8795021262e-02,-4.7621236422e-01
2.8994986687e-02,-4.7621228600e-01
2.9194952113e-02,-4.7621220725e-01
2.9394917538e-02,-4.7621212796e-01
2.9594882964e-02,-4.7621204813e-01
2.9794848389e-02,-4.7621196776e-01
2.9994813815e-02,-4.7621188686e-01
3.0194779240e-02,-4.7621180543e-01
3.0394744665e-02,-4.7621172345e-01
3.0594710091e-02,-4.7621164094e-01
3.0794675516e-02,-4.7621155789e-01
3.0994640942e-02,-4.7621147431e-01
3.1194606367e-02,-4.7621139019e-01
3.1394571793e-02,-4.7621130553e-01
3.1594537218e-02,-4.7621122033e-01
3.1794502643e-02,-4.7621113460e-01
3.1994468069e-02,-4.7621104833e-01
3.2194433494e-02,-4.7621096153e-01
3.2394398920e-02,-4.7621087418e-01
3.2594364345e-02,-4.7621078631e-01
3.2794329771e-02,-4.7621069789e-01
3.2994295196e-02,-4.7621060894e-01
3.3194260621e-02,-4.7621051945e-01
3.3394226047e-02,-4.7621042942e-01
3.3594191472e-02,-4.7621033886e-01
3.3794156898e-02,-4.7621024776e-01
3.3994122323e-02,-4.7621015613e-01
3.4194087749e-02,-4.7621006395e-01
3.4394053174e-02,-4.7620997124e-01
3.4594018599e-02,-4.7620987800e-01
3.4793984025e-02,-4.7620978422e-01
3.4993949450e-02,-4.7620968990e-01
3.5193914876e-02,-4.7620959504e-01
3.5393880301e-02,-4.7620949965e-01
3.5593845727e-02,-4.7620940372e-01
3.5793811152e-02,-4.7620930725e-01
3.5993776577e-02,-4.7620921025e-01
3.6193742003e-02,-4.7620911271e-01
3.6393707428e-02,-4.7620901463e-01
3.6593672854e-02,-4.7620891602e-01
3.6793638279e-02,-4.7620881686e-01
3.6993603705e-02,-4.7620871718e-01
3.7193569130e-02,-4.7620861695e-01
3.7393534555e-02,-4.7620851619e-01
3.7593499981e-02,-4.7620841490e-01
3.7793465406e-02,-4.7620831306e-01
3.7993430832e-02,-4.7620821069e-01
3.8193396257e-02,-4.7620810778e-01
3.8393361683e-02,-4.7620800434e-01
3.8593327108e-02,-4.7620790036e-01
3.8793292533e-02,-4.7620779584e-01
3.8993257959e-02,-4.7620769079e-01
3.9193223384e-02,-4.7620758519e-01
3.9393188810e-02,-4.7620747907e-01
3.9593154235e-02,-4.7620737240e-01
3.9793119661e-02,-4.7620726520e-01
3.9993085086e-02,-4.7620715746e-01
4.0193050511e-02,-4.7620704919e-01
4.0393015937e-02,-4.7620694037e-01
4.0592981362e-02,-4.7620683103e-01
4.0792946788e-02,-4.7620672114e-01
4.0992912213e-02,-4.7620661072e-01
4.1192877639e-02,-4.7620649976e-01
4.1392843064e-02,-4.7620638826e-01
4.1592808489e-02,-4.7620627623e-01
4.1792773915e-02,-4.7620616366e-01
4.1992739340e-02,-4.7620605056e-01
4.2192704766e-02,-4.7620593691e-01
4.2392670191e-02,-4.7620582273e-01
4.2592635617e-02,-4.7620570802e-01
4.2792601042e-02,-4.7620559276e-01
4.2992566467e-02,-4.7620547698e-01
4.3192531893e-02,-4.7620536065e-01
4.3392497318e-02,-4.7620524379e-01
