h,P0,R,M
1.000000e-05,1.501740e-08,1.029152e-01,2.075418e-10
1.000000e-05,1.890579e-08,1.111404e-01,2.821143e-10
1.000000e-05,2.380098e-08,1.199675e-01,3.827899e-10
1.000000e-05,2.996365e-08,1.295970e-01,5.210391e-10
1.000000e-05,3.772200e-08,1.398283e-01,7.057890e-10
1.000000e-05,4.748919e-08,1.510627e-01,9.610336e-10
1.000000e-05,5.978535e-08,1.630996e-01,1.305422e-09
1.000000e-05,7.526529e-08,1.761395e-01,1.775042e-09
1.000000e-05,9.475339e-08,1.901825e-01,2.411671e-09
1.000000e-05,1.192874e-07,2.054292e-01,3.282076e-09
1.000000e-05,1.501740e-07,2.218796e-01,4.465228e-09
1.000000e-05,1.890579e-07,2.395337e-01,6.063520e-09
1.000000e-05,2.380098e-07,2.587927e-01,8.259584e-09
1.000000e-05,2.996365e-07,2.794560e-01,1.122805e-08
1.000000e-05,3.772200e-07,3.017242e-01,1.525454e-08
1.000000e-05,4.748919e-07,3.257979e-01,2.073322e-08
1.000000e-05,5.978535e-07,3.518778e-01,2.820731e-08
1.000000e-05,7.526529e-07,3.799639e-01,3.834335e-08
1.000000e-05,9.475339e-07,4.102567e-01,5.210456e-08
1.000000e-05,1.192874e-06,4.429568e-01,7.080046e-08
1.000000e-05,1.501740e-06,4.784656e-01,9.636847e-08
1.000000e-05,2.380098e-06,5.579089e-01,1.781073e-07
1.000000e-05,3.772200e-06,6.503922e-01,3.288827e-07
1.000000e-05,1.890579e-06,5.165823e-01,1.309292e-07
1.000000e-05,2.996365e-06,6.024453e-01,2.421324e-07
1.000000e-05,4.748919e-06,7.023514e-01,4.472164e-07
1.000000e-05,5.978535e-06,7.583228e-01,6.076870e-07
1.000000e-05,7.526529e-06,8.189084e-01,8.263627e-07
1.000000e-05,9.475339e-06,8.843087e-01,1.123605e-06
1.000000e-05,1.192874e-05,9.549250e-01,1.527728e-06
1.000000e-05,1.501740e-05,1.030958e+00,2.075418e-06
1.000000e-05,2.996365e-05,1.297976e+00,5.213613e-06
1.000000e-05,3.772200e-05,1.401694e+00,7.090303e-06
1.000000e-05,1.890579e-05,1.113210e+00,2.821143e-06
1.000000e-05,2.380098e-05,1.202082e+00,3.835574e-06
1.000000e-05,4.748919e-05,1.513436e+00,9.635853e-06
1.000000e-05,5.978535e-05,1.634206e+00,1.309918e-05
1.000000e-05,7.526529e-05,1.764605e+00,1.780703e-05
1.000000e-05,9.475339e-05,1.905236e+00,2.419813e-05
1.000000e-05,1.192874e-04,2.057302e+00,3.289768e-05
1.000000e-05,1.501740e-04,2.221404e+00,4.471686e-05
1.000000e-05,1.890579e-04,2.398547e+00,6.077748e-05
1.000000e-05,2.380098e-04,2.589933e+00,8.262168e-05
1.000000e-05,3.772200e-04,3.019449e+00,1.526279e-04
1.000000e-05,2.996365e-04,2.796366e+00,1.122811e-04
1.000000e-05,5.978535e-04,3.519982e+00,2.818843e-04
1.000000e-05,4.748919e-04,3.260186e+00,2.074366e-04
1.000000e-05,9.475339e-04,4.103570e+00,5.206505e-04
1.000000e-05,7.526529e-04,3.800642e+00,3.831170e-04
1.000000e-05,1.192874e-03,4.430571e+00,7.075132e-04
1.000000e-05,1.501740e-03,4.783452e+00,9.613001e-04
1.000000e-05,1.890579e-03,5.164419e+00,1.306105e-03
1.000000e-05,2.380098e-03,5.575679e+00,1.774532e-03
1.000000e-05,3.772200e-03,6.498104e+00,3.273754e-03
1.000000e-05,2.996365e-03,6.019237e+00,2.410243e-03
1.000000e-05,4.748919e-03,7.014486e+00,4.445183e-03
1.000000e-05,5.978535e-03,7.571793e+00,6.035472e-03
1.000000e-05,7.526529e-03,8.172634e+00,8.191778e-03
1.000000e-05,9.475339e-03,8.820618e+00,1.111590e-02
1.000000e-05,1.192874e-02,9.518957e+00,1.507754e-02
1.000000e-05,1.501740e-02,1.027126e+01,2.044088e-02
1.000000e-05,1.890579e-02,1.108174e+01,2.769985e-02
1.000000e-05,2.380098e-02,1.195382e+01,3.750791e-02
1.000000e-05,2.996365e-02,1.289209e+01,5.075230e-02
1.000000e-05,3.772200e-02,1.390038e+01,6.860447e-02
1.000000e-05,4.748919e-02,1.498269e+01,9.262135e-02
1.000000e-05,5.978535e-02,1.614345e+01,1.248734e-01
1.000000e-05,7.526529e-02,1.738585e+01,1.680493e-01
1.000000e-05,9.475339e-02,1.871352e+01,2.256762e-01
1.000000e-05,1.192874e-01,2.012866e+01,3.022652e-01
1.000000e-05,1.501740e-01,2.163306e+01,4.035845e-01
1.000000e-05,1.890579e-01,2.322634e+01,5.367892e-01
1.000000e-05,2.380098e-01,2.490689e+01,7.106933e-01
1.000000e-05,2.996365e-01,2.666989e+01,9.357175e-01
1.000000e-05,3.772200e-01,2.850772e+01,1.223853e+00
1.000000e-05,4.748919e-01,3.040874e+01,1.588168e+00
1.000000e-05,5.978535e-01,3.235671e+01,2.041904e+00
1.000000e-05,7.526529e-01,3.433036e+01,2.597032e+00
1.000000e-05,9.475339e-01,3.630300e+01,3.262134e+00
1.000000e-05,1.192874e+00,3.824294e+01,4.039903e+00
1.000000e-05,1.890579e+00,4.187828e+01,5.899261e+00
1.000000e-05,1.501740e+00,4.011427e+01,4.924480e+00
