h,P0,R,M
1.000000e-05,1.000000e+00,2.175980e+00,9.967361e-01
1.000000e-05,5.000000e-01,2.259970e+00,1.035343e+00
1.000000e-05,3.333333e-01,2.312580e+00,1.053807e+00
1.000000e-05,2.000000e-01,2.374140e+00,1.064531e+00
1.000000e-05,2.500000e-01,2.348520e+00,1.062194e+00
1.000000e-05,1.428571e-01,2.406430e+00,1.058454e+00
1.000000e-05,1.666667e-01,2.392780e+00,1.062877e+00
1.000000e-05,1.250000e-01,2.416330e+00,1.051997e+00
1.000000e-05,1.111111e-01,2.423360e+00,1.044054e+00
1.000000e-05,1.000000e-01,2.428130e+00,1.034998e+00
1.000000e-05,9.090909e-02,2.431080e+00,1.025094e+00
1.000000e-05,8.333333e-02,2.432560e+00,1.014564e+00
1.000000e-05,7.692308e-02,2.432830e+00,1.003567e+00
1.000000e-05,7.142857e-02,2.432080e+00,9.922085e-01
1.000000e-05,6.666667e-02,2.430500e+00,9.806235e-01
1.000000e-05,6.250000e-02,2.428200e+00,9.688609e-01
1.000000e-05,5.882353e-02,2.425310e+00,9.570139e-01
1.000000e-05,5.555556e-02,2.421900e+00,9.451079e-01
1.000000e-05,5.000000e-02,2.413860e+00,9.213510e-01
1.000000e-05,5.263158e-02,2.418070e+00,9.332190e-01
1.000000e-05,4.761905e-02,2.409340e+00,9.095543e-01
1.000000e-05,4.545455e-02,2.404550e+00,8.978448e-01
1.000000e-05,4.347826e-02,2.399530e+00,8.862426e-01
1.000000e-05,4.166667e-02,2.394310e+00,8.747585e-01
1.000000e-05,4.000000e-02,2.388920e+00,8.634061e-01
1.000000e-05,3.846154e-02,2.383400e+00,8.522142e-01
1.000000e-05,3.703704e-02,2.377750e+00,8.411627e-01
1.000000e-05,3.448276e-02,2.366180e+00,8.195614e-01
1.000000e-05,3.571429e-02,2.372010e+00,8.302839e-01
1.000000e-05,3.333333e-02,2.360280e+00,8.090050e-01
1.000000e-05,3.225806e-02,2.354330e+00,7.986258e-01
1.000000e-05,3.125000e-02,2.348340e+00,7.884232e-01
1.000000e-05,3.030303e-02,2.342310e+00,7.783855e-01
1.000000e-05,2.941176e-02,2.336260e+00,7.685263e-01
1.000000e-05,2.777778e-02,2.324110e+00,7.493156e-01
1.000000e-05,2.857143e-02,2.330190e+00,7.588355e-01
1.000000e-05,2.702703e-02,2.318030e+00,7.399698e-01
1.000000e-05,2.631579e-02,2.311950e+00,7.307900e-01
1.000000e-05,2.564103e-02,2.305880e+00,7.217801e-01
1.000000e-05,2.500000e-02,2.299820e+00,7.129328e-01
1.000000e-05,2.439024e-02,2.293770e+00,7.042417e-01
1.000000e-05,2.380952e-02,2.287750e+00,6.957230e-01
1.000000e-05,2.325581e-02,2.281740e+00,6.873481e-01
1.000000e-05,2.272727e-02,2.275760e+00,6.791338e-01
1.000000e-05,2.222222e-02,2.269810e+00,6.710746e-01
1.000000e-05,2.173913e-02,2.263880e+00,6.631546e-01
1.000000e-05,2.127660e-02,2.257990e+00,6.553907e-01
1.000000e-05,2.083333e-02,2.252130e+00,6.477674e-01
1.000000e-05,2.040816e-02,2.246300e+00,6.402804e-01
1.000000e-05,2.000000e-02,2.240500e+00,6.329256e-01
1.000000e-05,1.960784e-02,2.234750e+00,6.257202e-01
1.000000e-05,1.923077e-02,2.229030e+00,6.186393e-01
1.000000e-05,1.886792e-02,2.223340e+00,6.116795e-01
1.000000e-05,1.851852e-02,2.217700e+00,6.048579e-01
1.000000e-05,1.818182e-02,2.212090e+00,5.981506e-01
1.000000e-05,1.785714e-02,2.206530e+00,5.915750e-01
1.000000e-05,1.754386e-02,2.201000e+00,5.851077e-01
1.000000e-05,1.724138e-02,2.195510e+00,5.787559e-01
1.000000e-05,1.694915e-02,2.190070e+00,5.725268e-01
1.000000e-05,1.666667e-02,2.184660e+00,5.663980e-01
1.000000e-05,1.639344e-02,2.179290e+00,5.603767e-01
1.000000e-05,1.612903e-02,2.173970e+00,5.544703e-01
1.000000e-05,1.587302e-02,2.168680e+00,5.486569e-01
1.000000e-05,1.562500e-02,2.163440e+00,5.429536e-01
1.000000e-05,1.538462e-02,2.158230e+00,5.373391e-01
1.000000e-05,1.515152e-02,2.153070e+00,5.318303e-01
1.000000e-05,1.492537e-02,2.147950e+00,5.264156e-01
1.000000e-05,1.470588e-02,2.142860e+00,5.210839e-01
1.000000e-05,1.449275e-02,2.137820e+00,5.158518e-01
1.000000e-05,1.428571e-02,2.132810e+00,5.106992e-01
1.000000e-05,1.408451e-02,2.127850e+00,5.056425e-01
1.000000e-05,1.388889e-02,2.122920e+00,5.006618e-01
1.000000e-05,1.369863e-02,2.118040e+00,4.957737e-01
1.000000e-05,1.351351e-02,2.113190e+00,4.909585e-01
1.000000e-05,1.333333e-02,2.108380e+00,4.862238e-01
1.000000e-05,1.315789e-02,2.103600e+00,4.815593e-01
1.000000e-05,1.298701e-02,2.098870e+00,4.769810e-01
1.000000e-05,1.282051e-02,2.094170e+00,4.724703e-01
1.000000e-05,1.265823e-02,2.089510e+00,4.680344e-01
1.000000e-05,1.250000e-02,2.084890e+00,4.636720e-01
1.000000e-05,1.234568e-02,2.080300e+00,4.593733e-01
1.000000e-05,1.219512e-02,2.075750e+00,4.551458e-01
1.000000e-05,1.204819e-02,2.071230e+00,4.509797e-01
1.000000e-05,1.190476e-02,2.066750e+00,4.468824e-01
1.000000e-05,1.176471e-02,2.062300e+00,4.428445e-01
1.000000e-05,1.162791e-02,2.057890e+00,4.388732e-01
1.000000e-05,1.149425e-02,2.053520e+00,4.349674e-01
1.000000e-05,1.136364e-02,2.049170e+00,4.311098e-01
1.000000e-05,1.123596e-02,2.044860e+00,4.273158e-01
1.000000e-05,1.111111e-02,2.040590e+00,4.235844e-01
1.000000e-05,1.098901e-02,2.036340e+00,4.198986e-01
1.000000e-05,1.086957e-02,2.032130e+00,4.162735e-01
1.000000e-05,1.075269e-02,2.027950e+00,4.127005e-01
1.000000e-05,1.063830e-02,2.023800e+00,4.091786e-01
1.000000e-05,1.052632e-02,2.019690e+00,4.057148e-01
1.000000e-05,1.041667e-02,2.015600e+00,4.022930e-01
1.000000e-05,1.030928e-02,2.011550e+00,3.989276e-01
1.000000e-05,1.020408e-02,2.007530e+00,3.956104e-01
1.000000e-05,1.010101e-02,2.003530e+00,3.923330e-01
