h,R,M,P
1.000000e-02,4.995301e+01,1.173469e+01,5.508073e-03
5.000000e-03,5.005332e+01,1.173496e+01,4.127529e-03
2.500000e-03,5.010347e+01,1.173502e+01,3.779472e-03
1.250000e-03,5.012855e+01,1.173504e+01,3.692265e-03
6.250000e-04,5.014109e+01,1.173504e+01,3.669815e-03
3.125000e-04,5.015363e+01,1.173736e+01,1.128490e-03
1.562500e-04,5.015676e+01,1.173736e+01,1.127283e-03
7.812500e-05,5.015989e+01,1.173795e+01,4.930955e-04
3.906250e-05,5.016146e+01,1.173824e+01,1.761492e-04
1.953125e-05,5.016225e+01,1.173838e+01,1.771488e-05
9.765625e-06,5.016244e+01,1.173838e+01,1.770890e-05
4.882813e-06,5.016254e+01,1.173838e+01,1.770417e-05
2.441406e-06,5.016259e+01,1.173838e+01,1.770359e-05
1.220703e-06,5.016264e+01,1.173839e+01,7.801880e-06
6.103516e-07,5.016266e+01,1.173839e+01,2.851453e-06
3.051758e-07,5.016267e+01,1.173840e+01,3.769749e-07
1.525879e-07,5.016268e+01,1.173840e+01,3.763513e-07
7.629395e-08,5.016268e+01,1.173840e+01,3.804299e-07
3.814697e-08,5.016268e+01,1.173840e+01,6.688025e-08
1.907349e-08,5.016268e+01,1.173840e+01,6.283989e-08
