r,P,m
0.0000000000e+00,9.4852110000e+02,0.0000000000e+00
1.9996542543e-04,9.4852109577e+02,4.6690158128e-13
3.9993085086e-04,9.4852108712e+02,1.7342058683e-12
5.9989627629e-04,9.4852107478e+02,4.2021142014e-12
7.9986170172e-04,9.4852105884e+02,8.2708279057e-12
9.9982712715e-04,9.4852103930e+02,1.4340548286e-11
1.1997925526e-03,9.4852101619e+02,2.2811476622e-11
1.3997579780e-03,9.4852098951e+02,3.4083814163e-11
1.5997234034e-03,9.4852095926e+02,4.8557762122e-11
1.7996888289e-03,9.4852092544e+02,6.6633521672e-11
1.9996542543e-03,9.4852088806e+02,8.8711293942e-11
2.1996196797e-03,9.4852084712e+02,1.1519128001e-10
2.3995851052e-03,9.4852080261e+02,1.4647368089e-10
2.5995505306e-03,9.4852075454e+02,1.8295869755e-10
2.7995159560e-03,9.4852070291e+02,2.2504653088e-10
2.9994813815e-03,9.4852064772e+02,2.7313738171e-10
3.1994468069e-03,9.4852058896e+02,3.2763145079e-10
3.3994122323e-03,9.4852052665e+02,3.8892893877e-10
3.5993776577e-03,9.4852046077e+02,4.5743004624e-10
3.7993430832e-03,9.4852039132e+02,5.3353497370e-10
3.9993085086e-03,9.4852031832e+02,6.1764392152e-10
4.1992739340e-03,9.4852024176e+02,7.1015709002e-10
4.3992393595e-03,9.4852016163e+02,8.1147467936e-10
4.5992047849e-03,9.4852007794e+02,9.2199688963e-10
4.7991702103e-03,9.4851999069e+02,1.0421239208e-09
4.9991356358e-03,9.4851989988e+02,1.1722559726e-09
5.1991010612e-03,9.4851980551e+02,1.3127932449e-09
5.3990664866e-03,9.4851970758e+02,1.4641359372e-09
5.5990319120e-03,9.4851960608e+02,1.6266842490e-09
5.7989973375e-03,9.4851950102e+02,1.8008383795e-09
5.9989627629e-03,9.4851939241e+02,1.9869985279e-09
6.1989281883e-03,9.4851928023e+02,2.1855648932e-09
6.3988936138e-03,9.4851916448e+02,2.3969376742e-09
6.5988590392e-03,9.4851904518e+02,2.6215170696e-09
6.7988244646e-03,9.4851892232e+02,2.8597032780e-09
6.9987898901e-03,9.4851879589e+02,3.1118964977e-09
7.1987553155e-03,9.4851866591e+02,3.3784969268e-09
7.3987207409e-03,9.4851853236e+02,3.6599047633e-09
7.5986861663e-03,9.4851839525e+02,3.9565202051e-09
7.7986515918e-03,9.4851825458e+02,4.2687434497e-09
7.9986170172e-03,9.4851811035e+02,4.5969746945e-09
8.1985824426e-03,9.4851796256e+02,4.9416141367e-09
8.3985478681e-03,9.4851781120e+02,5.3030619733e-09
8.5985132935e-03,9.4851765629e+02,5.6817184012e-09
8.7984787189e-03,9.4851749781e+02,6.0779836168e-09
8.9984441444e-03,9.4851733577e+02,6.4922578165e-09
9.1984095698e-03,9.4851717017e+02,6.9249411965e-09
9.3983749952e-03,9.4851700101e+02,7.3764339526e-09
9.5983404206e-03,9.4851682829e+02,7.8471362804e-09
9.7983058461e-03,9.4851665200e+02,8.3374483753e-09
9.9982712715e-03,9.4851647216e+02,8.8477704326e-09
1.0198236697e-02,9.4851628875e+02,9.3785026470e-09
1.0398202122e-02,9.4851610179e+02,9.9300452133e-09
1.0598167548e-02,9.4851591126e+02,1.0502798326e-08
1.0798132973e-02,9.4851571717e+02,1.1097162179e-08
1.0998098399e-02,9.4851551952e+02,1.1713536965e-08
1.1198063824e-02,9.4851531830e+02,1.2352322880e-08
1.1398029250e-02,9.4851511353e+02,1.3013920116e-08
1.1597994675e-02,9.4851490519e+02,1.3698728865e-08
1.1797960100e-02,9.4851469330e+02,1.4407149322e-08
1.1997925526e-02,9.4851447784e+02,1.5139581677e-08
1.2197890951e-02,9.4851425882e+02,1.5896426123e-08
1.2397856377e-02,9.4851403624e+02,1.6678082853e-08
1.2597821802e-02,9.4851381010e+02,1.7484952056e-08
1.2797787228e-02,9.4851358040e+02,1.8317433925e-08
1.2997752653e-02,9.4851334713e+02,1.9175928651e-08
1.3197718078e-02,9.4851311031e+02,2.0060836423e-08
1.3397683504e-02,9.4851286992e+02,2.0972557433e-08
1.3597648929e-02,9.4851262597e+02,2.1911491869e-08
1.3797614355e-02,9.4851237847e+02,2.2878039921e-08
1.3997579780e-02,9.4851212740e+02,2.3872601779e-08
1.4197545206e-02,9.4851187276e+02,2.4895577631e-08
1.4397510631e-02,9.4851161457e+02,2.5947367665e-08
1.4597476056e-02,9.4851135282e+02,2.7028372070e-08
1.4797441482e-02,9.4851108750e+02,2.8138991034e-08
1.4997406907e-02,9.4851081863e+02,2.9279624743e-08
1.5197372333e-02,9.4851054619e+02,3.0450673384e-08
1.5397337758e-02,9.4851027019e+02,3.1652537145e-08
1.5597303184e-02,9.4850999063e+02,3.2885616210e-08
1.5797268609e-02,9.4850970751e+02,3.4150310767e-08
1.5997234034e-02,9.4850942083e+02,3.5447021000e-08
1.6197199460e-02,9.4850913058e+02,3.6776147094e-08
1.6397164885e-02,9.4850883678e+02,3.8138089234e-08
1.6597130311e-02,9.4850853941e+02,3.9533247604e-08
1.6797095736e-02,9.4850823849e+02,4.0962022388e-08
1.6997061162e-02,9.4850793400e+02,4.2424813768e-08
1.7197026587e-02,9.4850762595e+02,4.3922021928e-08
1.7396992012e-02,9.4850731434e+02,4.5454047050e-08
1.7596957438e-02,9.4850699917e+02,4.7021289316e-08
1.7796922863e-02,9.4850668043e+02,4.8624148908e-08
1.7996888289e-02,9.4850635814e+02,5.0263026006e-08
1.8196853714e-02,9.4850603229e+02,5.1938320792e-08
1.8396819140e-02,9.4850570287e+02,5.3650433445e-08
1.8596784565e-02,9.4850536989e+02,5.5399764146e-08
1.8796749990e-02,9.4850503335e+02,5.7186713072e-08
1.8996715416e-02,9.4850469325e+02,5.9011680404e-08
1.9196680841e-02,9.4850434959e+02,6.0875066319e-08
1.9396646267e-02,9.4850400237e+02,6.2777270995e-08
1.9596611692e-02,9.4850365159e+02,6.4718694610e-08
1.9796577118e-02,9.4850329724e+02,6.6699737340e-08
1.9996542543e-02,9.4850293934e+02,6.8720799361e-08
2.0196507968e-02,9.4850257787e+02,7.0782280849e-08
2.0396473394e-02,9.4850221284e+02,7.2884581980e-08
2.0596438819e-02,9.4850184425e+02,7.5028102929e-08
2.0796404245e-02,9.4850147210e+02,7.7213243868e-08
2.0996369670e-02,9.4850109639e+02,7.9440404973e-08
2.1196335096e-02,9.4850071712e+02,8.1709986417e-08
2.1396300521e-02,9.4850033429e+02,8.4022388371e-08
2.1596265946e-02,9.4849994789e+02,8.6378011008e-08
2.1796231372e-02,9.4849955794e+02,8.8777254500e-08
2.1996196797e-02,9.4849916442e+02,9.1220519018e-08
2.2196162223e-02,9.4849876734e+02,9.3708204731e-08
2.2396127648e-02,9.4849836670e+02,9.6240711811e-08
2.2596093074e-02,9.4849796250e+02,9.8818440425e-08
2.2796058499e-02,9.4849755474e+02,1.0144179074e-07
2.2996023924e-02,9.4849714342e+02,1.0411116293e-07
2.3195989350e-02,9.4849672853e+02,1.0682695717e-07
