r,Pot
8.55922e+00,6.41819e+15
8.75983e+00,6.32434e+15
8.96045e+00,6.23844e+15
9.16106e+00,6.15949e+15
9.36168e+00,6.08666e+15
9.56229e+00,6.01926e+15
9.76290e+00,5.95669e+15
9.96352e+00,5.89844e+15
1.01641e+01,5.84406e+15
1.03647e+01,5.79318e+15
1.05654e+01,5.74547e+15
1.07660e+01,5.70064e+15
1.09666e+01,5.65842e+15
1.11672e+01,5.61859e+15
1.13678e+01,5.58096e+15
1.15684e+01,5.54534e+15
1.17691e+01,5.51157e+15
1.19697e+01,5.47952e+15
1.21703e+01,5.44904e+15
1.23709e+01,5.42004e+15
1.25715e+01,5.39239e+15
1.27721e+01,5.36602e+15
1.29727e+01,5.34083e+15
1.31734e+01,5.31674e+15
1.33740e+01,5.29368e+15
1.35746e+01,5.27158e+15
1.37752e+01,5.25040e+15
1.39758e+01,5.23006e+15
1.41764e+01,5.21053e+15
1.43770e+01,5.19174e+15
1.45777e+01,5.17367e+15
1.47783e+01,5.15627e+15
1.49789e+01,5.13950e+15
1.51795e+01,5.12333e+15
1.53801e+01,5.10773e+15
1.55807e+01,5.09267e+15
1.57813e+01,5.07812e+15
1.59820e+01,5.06405e+15
1.61826e+01,5.05044e+15
1.63832e+01,5.03728e+15
1.65838e+01,5.02453e+15
1.67844e+01,5.01217e+15
1.69850e+01,5.00020e+15
1.71856e+01,4.98859e+15
1.73863e+01,4.97732e+15
1.75869e+01,4.96639e+15
1.77875e+01,4.95577e+15
1.79881e+01,4.94545e+15
1.81887e+01,4.93542e+15
1.83893e+01,4.92567e+15
1.85899e+01,4.91619e+15
1.87906e+01,4.90696e+15
1.89912e+01,4.89798e+15
1.91918e+01,4.88923e+15
1.93924e+01,4.88071e+15
1.95930e+01,4.87240e+15
1.97936e+01,4.86431e+15
1.99942e+01,4.85642e+15
2.01949e+01,4.84872e+15
2.03955e+01,4.84120e+15
2.05961e+01,4.83387e+15
2.07967e+01,4.82671e+15
2.09973e+01,4.81972e+15
2.11979e+01,4.81289e+15
2.13985e+01,4.80622e+15
2.15992e+01,4.79970e+15
2.17998e+01,4.79332e+15
2.20004e+01,4.78709e+15
2.22010e+01,4.78099e+15
2.24016e+01,4.77502e+15
2.26022e+01,4.76918e+15
2.28028e+01,4.76347e+15
