r,Pot
1.09028e+01,6.41810e+15
1.11034e+01,6.39686e+15
1.13040e+01,6.37658e+15
1.15046e+01,6.35718e+15
1.17053e+01,6.33862e+15
1.19059e+01,6.32084e+15
1.21065e+01,6.30378e+15
1.23071e+01,6.28742e+15
1.25077e+01,6.27169e+15
1.27083e+01,6.25658e+15
1.29089e+01,6.24204e+15
1.31096e+01,6.22804e+15
1.33102e+01,6.21456e+15
1.35108e+01,6.20156e+15
1.37114e+01,6.18901e+15
1.39120e+01,6.17690e+15
1.41126e+01,6.16520e+15
1.43132e+01,6.15390e+15
1.45139e+01,6.14296e+15
1.47145e+01,6.13238e+15
1.49151e+01,6.12214e+15
1.51157e+01,6.11221e+15
1.53163e+01,6.10260e+15
1.55169e+01,6.09327e+15
1.57175e+01,6.08423e+15
1.59182e+01,6.07545e+15
1.61188e+01,6.06693e+15
1.63194e+01,6.05865e+15
1.65200e+01,6.05060e+15
1.67206e+01,6.04278e+15
1.69212e+01,6.03517e+15
1.71218e+01,6.02777e+15
1.73225e+01,6.02057e+15
1.75231e+01,6.01355e+15
1.77237e+01,6.00672e+15
1.79243e+01,6.00006e+15
1.81249e+01,5.99358e+15
1.83255e+01,5.98725e+15
1.85262e+01,5.98108e+15
1.87268e+01,5.97506e+15
1.89274e+01,5.96919e+15
1.91280e+01,5.96346e+15
1.93286e+01,5.95786e+15
1.95292e+01,5.95239e+15
1.97298e+01,5.94705e+15
1.99305e+01,5.94183e+15
2.01311e+01,5.93672e+15
2.03317e+01,5.93173e+15
2.05323e+01,5.92685e+15
2.07329e+01,5.92208e+15
2.09335e+01,5.91741e+15
2.11341e+01,5.91284e+15
2.13348e+01,5.90836e+15
2.15354e+01,5.90398e+15
2.17360e+01,5.89969e+15
2.19366e+01,5.89548e+15
2.21372e+01,5.89136e+15
2.23378e+01,5.88733e+15
2.25384e+01,5.88337e+15
2.27391e+01,5.87949e+15
2.29397e+01,5.87568e+15
2.31403e+01,5.87195e+15
2.33409e+01,5.86829e+15
2.35415e+01,5.86470e+15
2.37421e+01,5.86118e+15
2.39427e+01,5.85772e+15
2.41434e+01,5.85432e+15
2.43440e+01,5.85099e+15
2.45446e+01,5.84772e+15
2.47452e+01,5.84450e+15
2.49458e+01,5.84134e+15
2.51464e+01,5.83824e+15
2.53470e+01,5.83519e+15
2.55477e+01,5.83220e+15
2.57483e+01,5.82925e+15
2.59489e+01,5.82636e+15
2.61495e+01,5.82351e+15
2.63501e+01,5.82071e+15
2.65507e+01,5.81796e+15
2.67513e+01,5.81525e+15
2.69520e+01,5.81259e+15
2.71526e+01,5.80996e+15
2.73532e+01,5.80739e+15
2.75538e+01,5.80485e+15
2.77544e+01,5.80235e+15
2.79550e+01,5.79989e+15
2.81556e+01,5.79747e+15
2.83563e+01,5.79508e+15
2.85569e+01,5.79274e+15
2.87575e+01,5.79043e+15
2.89581e+01,5.78815e+15
2.91587e+01,5.78591e+15
2.93593e+01,5.78370e+15
2.95599e+01,5.78152e+15
2.97606e+01,5.77937e+15
2.99612e+01,5.77726e+15
3.01618e+01,5.77517e+15
3.03624e+01,5.77312e+15
3.05630e+01,5.77109e+15
3.07636e+01,5.76910e+15
3.09643e+01,5.76713e+15
3.11649e+01,5.76519e+15
3.13655e+01,5.76327e+15
3.15661e+01,5.76138e+15
3.17667e+01,5.75952e+15
3.19673e+01,5.75768e+15
3.21679e+01,5.75587e+15
3.23686e+01,5.75408e+15
3.25692e+01,5.75231e+15
3.27698e+01,5.75057e+15
3.29704e+01,5.74885e+15
3.31710e+01,5.74715e+15
3.33716e+01,5.74548e+15
3.35722e+01,5.74383e+15
3.37729e+01,5.74219e+15
3.39735e+01,5.74058e+15
3.41741e+01,5.73899e+15
3.43747e+01,5.73742e+15
3.45753e+01,5.73586e+15
3.47759e+01,5.73433e+15
3.49765e+01,5.73282e+15
3.51772e+01,5.73132e+15
3.53778e+01,5.72984e+15
3.55784e+01,5.72838e+15
3.57790e+01,5.72694e+15
3.59796e+01,5.72551e+15
3.61802e+01,5.72411e+15
3.63808e+01,5.72271e+15
3.65815e+01,5.72134e+15
3.67821e+01,5.71998e+15
3.69827e+01,5.71863e+15
3.71833e+01,5.71731e+15
3.73839e+01,5.71599e+15
3.75845e+01,5.71469e+15
3.77851e+01,5.71341e+15
3.79858e+01,5.71214e+15
3.81864e+01,5.71088e+15
3.83870e+01,5.70964e+15
3.85876e+01,5.70842e+15
3.87882e+01,5.70720e+15
3.89888e+01,5.70600e+15
3.91894e+01,5.70481e+15
3.93901e+01,5.70364e+15
3.95907e+01,5.70247e+15
3.97913e+01,5.70132e+15
3.99919e+01,5.70019e+15
4.01925e+01,5.69906e+15
4.03931e+01,5.69795e+15
4.05937e+01,5.69684e+15
4.07944e+01,5.69575e+15
4.09950e+01,5.69467e+15
4.11956e+01,5.69361e+15
4.13962e+01,5.69255e+15
4.15968e+01,5.69150e+15
4.17974e+01,5.69047e+15
4.19980e+01,5.68944e+15
4.21987e+01,5.68842e+15
4.23993e+01,5.68742e+15
4.25999e+01,5.68642e+15
4.28005e+01,5.68544e+15
4.30011e+01,5.68446e+15
4.32017e+01,5.68350e+15
4.34023e+01,5.68254e+15
4.36030e+01,5.68159e+15
4.38036e+01,5.68066e+15
4.40042e+01,5.67973e+15
4.42048e+01,5.67881e+15
4.44054e+01,5.67789e+15
4.46060e+01,5.67699e+15
4.48067e+01,5.67610e+15
4.50073e+01,5.67521e+15
4.52079e+01,5.67433e+15
4.54085e+01,5.67346e+15
4.56091e+01,5.67260e+15
4.58097e+01,5.67175e+15
4.60103e+01,5.67090e+15
4.62110e+01,5.67006e+15
4.64116e+01,5.66923e+15
4.66122e+01,5.66841e+15
4.68128e+01,5.66759e+15
4.70134e+01,5.66679e+15
4.72140e+01,5.66599e+15
4.74146e+01,5.66519e+15
4.76153e+01,5.66440e+15
4.78159e+01,5.66362e+15
4.80165e+01,5.66285e+15
4.82171e+01,5.66208e+15
4.84177e+01,5.66133e+15
4.86183e+01,5.66057e+15
4.88189e+01,5.65983e+15
4.90196e+01,5.65908e+15
4.92202e+01,5.65835e+15
4.94208e+01,5.65762e+15
4.96214e+01,5.65690e+15
4.98220e+01,5.65619e+15
5.00226e+01,5.65548e+15
5.02232e+01,5.65477e+15
5.04239e+01,5.65408e+15
5.06245e+01,5.65338e+15
5.08251e+01,5.65270e+15
5.10257e+01,5.65202e+15
5.12263e+01,5.65134e+15
5.14269e+01,5.65067e+15
5.16275e+01,5.65001e+15
5.18282e+01,5.64935e+15
5.20288e+01,5.64870e+15
5.22294e+01,5.64805e+15
5.24300e+01,5.64741e+15
5.26306e+01,5.64677e+15
5.28312e+01,5.64613e+15
5.30318e+01,5.64551e+15
5.32325e+01,5.64488e+15
5.34331e+01,5.64427e+15
5.36337e+01,5.64365e+15
5.38343e+01,5.64304e+15
5.40349e+01,5.64244e+15
5.42355e+01,5.64184e+15
5.44361e+01,5.64125e+15
5.46368e+01,5.64066e+15
5.48374e+01,5.64007e+15
5.50380e+01,5.63949e+15
5.52386e+01,5.63891e+15
5.54392e+01,5.63834e+15
5.56398e+01,5.63777e+15
5.58404e+01,5.63721e+15
5.60411e+01,5.63665e+15
5.62417e+01,5.63610e+15
5.64423e+01,5.63555e+15
5.66429e+01,5.63500e+15
5.68435e+01,5.63446e+15
5.70441e+01,5.63392e+15
5.72447e+01,5.63338e+15
5.74454e+01,5.63285e+15
5.76460e+01,5.63232e+15
5.78466e+01,5.63180e+15
5.80472e+01,5.63128e+15
5.82478e+01,5.63076e+15
5.84484e+01,5.63025e+15
5.86491e+01,5.62974e+15
5.88497e+01,5.62924e+15
5.90503e+01,5.62874e+15
5.92509e+01,5.62824e+15
5.94515e+01,5.62774e+15
5.96521e+01,5.62725e+15
5.98527e+01,5.62676e+15
6.00534e+01,5.62628e+15
6.02540e+01,5.62580e+15
