T,Teff
1.0000000e-03,4.5015964e-08
2.0000000e-03,6.5504077e-08
3.0000000e-03,5.6928715e-06
4.0000000e-03,5.7139054e-05
5.0000000e-03,2.2797858e-04
6.0000000e-03,5.7350171e-04
7.0000000e-03,1.1084261e-03
8.0000000e-03,1.8169229e-03
9.0000000e-03,2.6685393e-03
1.0000000e-02,3.6293701e-03
1.1000000e-02,4.6679189e-03
1.2000000e-02,5.7574828e-03
1.3000000e-02,6.8766730e-03
1.4000000e-02,8.0090649e-03
1.5000000e-02,9.1425111e-03
1.6000000e-02,1.0268379e-02
1.7000000e-02,1.1380830e-02
1.8000000e-02,1.2476194e-02
1.9000000e-02,1.3552434e-02
2.0000000e-02,1.4608721e-02
2.1000000e-02,1.5645090e-02
2.2000000e-02,1.6662167e-02
2.3000000e-02,1.7660968e-02
2.4000000e-02,1.8642742e-02
2.5000000e-02,1.9608854e-02
2.6000000e-02,2.0560706e-02
2.7000000e-02,2.1499678e-02
2.8000000e-02,2.2427088e-02
2.9000000e-02,2.3344176e-02
3.0000000e-02,2.4252080e-02
3.1000000e-02,2.5151840e-02
3.2000000e-02,2.6044393e-02
3.3000000e-02,2.6930577e-02
3.4000000e-02,2.7811138e-02
3.5000000e-02,2.8686739e-02
3.6000000e-02,2.9557961e-02
3.7000000e-02,3.0425317e-02
3.8000000e-02,3.1289258e-02
3.9000000e-02,3.2150179e-02
4.0000000e-02,3.3008425e-02
4.1000000e-02,3.3864299e-02
4.2000000e-02,3.4718067e-02
4.3000000e-02,3.5569961e-02
4.4000000e-02,3.6420184e-02
4.5000000e-02,3.7268915e-02
4.6000000e-02,3.8116312e-02
4.7000000e-02,3.8962513e-02
4.8000000e-02,3.9807639e-02
4.9000000e-02,4.0651798e-02
5.0000000e-02,4.1495086e-02
5.1000000e-02,4.2337586e-02
5.2000000e-02,4.3179373e-02
5.3000000e-02,4.4020514e-02
5.4000000e-02,4.4861068e-02
5.5000000e-02,4.5701088e-02
5.6000000e-02,4.6540621e-02
5.7000000e-02,4.7379709e-02
5.8000000e-02,4.8218390e-02
5.9000000e-02,4.9056700e-02
6.0000000e-02,4.9894667e-02
6.1000000e-02,5.0732321e-02
6.2000000e-02,5.1569686e-02
6.3000000e-02,5.2406786e-02
6.4000000e-02,5.3243639e-02
6.5000000e-02,5.4080266e-02
6.6000000e-02,5.4916684e-02
6.7000000e-02,5.5752907e-02
6.8000000e-02,5.6588950e-02
6.9000000e-02,5.7424827e-02
7.0000000e-02,5.8260548e-02
7.1000000e-02,5.9096125e-02
7.2000000e-02,5.9931567e-02
7.3000000e-02,6.0766884e-02
7.4000000e-02,6.1602084e-02
7.5000000e-02,6.2437175e-02
7.6000000e-02,6.3272164e-02
7.7000000e-02,6.4107057e-02
7.8000000e-02,6.4941861e-02
7.9000000e-02,6.5776581e-02
8.0000000e-02,6.6611222e-02
8.1000000e-02,6.7445790e-02
8.2000000e-02,6.8280288e-02
8.3000000e-02,6.9114721e-02
8.4000000e-02,6.9949092e-02
8.5000000e-02,7.0783406e-02
8.6000000e-02,7.1617665e-02
8.7000000e-02,7.2451873e-02
8.8000000e-02,7.3286033e-02
8.9000000e-02,7.4120146e-02
9.0000000e-02,7.4954217e-02
9.1000000e-02,7.5788246e-02
9.2000000e-02,7.6622237e-02
9.3000000e-02,7.7456191e-02
9.4000000e-02,7.8290110e-02
9.5000000e-02,7.9123997e-02
9.6000000e-02,7.9957852e-02
9.7000000e-02,8.0791678e-02
9.8000000e-02,8.1625476e-02
9.9000000e-02,8.2459247e-02
1.0000000e-01,8.3292992e-02
1.0100000e-01,8.4126714e-02
1.0200000e-01,8.4960412e-02
1.0300000e-01,8.5794089e-02
1.0400000e-01,8.6627745e-02
1.0500000e-01,8.7461381e-02
1.0600000e-01,8.8294998e-02
1.0700000e-01,8.9128597e-02
1.0800000e-01,8.9962179e-02
1.0900000e-01,9.0795744e-02
1.1000000e-01,9.1629294e-02
1.1100000e-01,9.2462829e-02
1.1200000e-01,9.3296349e-02
1.1300000e-01,9.4129856e-02
1.1400000e-01,9.4963350e-02
1.1500000e-01,9.5796831e-02
1.1600000e-01,9.6630300e-02
1.1700000e-01,9.7463758e-02
1.1800000e-01,9.8297204e-02
1.1900000e-01,9.9130641e-02
1.2000000e-01,9.9964067e-02
1.2100000e-01,1.0079748e-01
1.2200000e-01,1.0163089e-01
1.2300000e-01,1.0246429e-01
1.2400000e-01,1.0329768e-01
1.2500000e-01,1.0413106e-01
1.2600000e-01,1.0496443e-01
1.2700000e-01,1.0579780e-01
1.2800000e-01,1.0663116e-01
1.2900000e-01,1.0746451e-01
1.3000000e-01,1.0829785e-01
1.3100000e-01,1.0913119e-01
1.3200000e-01,1.0996452e-01
1.3300000e-01,1.1079785e-01
1.3400000e-01,1.1163117e-01
1.3500000e-01,1.1246449e-01
1.3600000e-01,1.1329779e-01
1.3700000e-01,1.1413110e-01
1.3800000e-01,1.1496440e-01
1.3900000e-01,1.1579769e-01
1.4000000e-01,1.1663098e-01
1.4100000e-01,1.1746427e-01
1.4200000e-01,1.1829755e-01
1.4300000e-01,1.1913083e-01
1.4400000e-01,1.1996410e-01
1.4500000e-01,1.2079737e-01
1.4600000e-01,1.2163063e-01
1.4700000e-01,1.2246389e-01
1.4800000e-01,1.2329715e-01
1.4900000e-01,1.2413041e-01
1.5000000e-01,1.2496366e-01
1.5100000e-01,1.2579690e-01
1.5200000e-01,1.2663015e-01
1.5300000e-01,1.2746339e-01
1.5400000e-01,1.2829663e-01
1.5500000e-01,1.2912987e-01
1.5600000e-01,1.2996310e-01
