P,Teff
6.8714280e-05,9.9998574e-03
7.0314840e-05,9.9998554e-03
7.1952680e-05,9.9998534e-03
7.3628680e-05,9.9998513e-03
7.5343710e-05,9.9998493e-03
7.7098690e-05,9.9998472e-03
7.8894550e-05,9.9998450e-03
8.0732240e-05,9.9998428e-03
8.2612730e-05,9.9998406e-03
8.4537030e-05,9.9998384e-03
8.6506150e-05,9.9998361e-03
8.8521140e-05,9.9998338e-03
9.0583060e-05,9.9998315e-03
9.2693010e-05,9.9998291e-03
9.4852110e-05,9.9998267e-03
9.7061500e-05,9.9998243e-03
9.9322350e-05,9.9998218e-03
1.0163590e-04,9.9998193e-03
1.0400330e-04,9.9998168e-03
1.0642580e-04,9.9998142e-03
1.0890480e-04,9.9998116e-03
1.1144150e-04,9.9998089e-03
1.1403730e-04,9.9998063e-03
1.1669360e-04,9.9998035e-03
1.1941170e-04,9.9998008e-03
1.2219320e-04,9.9997980e-03
1.2503940e-04,9.9997951e-03
1.2795200e-04,9.9997923e-03
1.3093240e-04,9.9997894e-03
1.3398220e-04,9.9997864e-03
1.3710300e-04,9.9997834e-03
1.4029650e-04,9.9997803e-03
1.4356450e-04,9.9997773e-03
1.4690850e-04,9.9997741e-03
1.5033050e-04,9.9997710e-03
1.5383210e-04,9.9997678e-03
1.5741530e-04,9.9997645e-03
1.6108200e-04,9.9997612e-03
1.6483410e-04,9.9997578e-03
1.6867360e-04,9.9997544e-03
1.7260250e-04,9.9997510e-03
1.7662290e-04,9.9997475e-03
1.8073700e-04,9.9997439e-03
1.8494690e-04,9.9997403e-03
1.8925480e-04,9.9997367e-03
1.9366310e-04,9.9997330e-03
1.9817410e-04,9.9997292e-03
2.0279020e-04,9.9997254e-03
2.0751380e-04,9.9997216e-03
2.1234740e-04,9.9997177e-03
2.1729360e-04,9.9997137e-03
2.2235500e-04,9.9997097e-03
2.2753440e-04,9.9997056e-03
2.3283430e-04,9.9997015e-03
2.3825770e-04,9.9996973e-03
2.4380750e-04,9.9996930e-03
2.4948650e-04,9.9996887e-03
2.5529780e-04,9.9996843e-03
2.6124440e-04,9.9996799e-03
2.6732960e-04,9.9996754e-03
2.7355650e-04,9.9996709e-03
2.7992840e-04,9.9996662e-03
2.8644880e-04,9.9996615e-03
2.9312100e-04,9.9996568e-03
2.9994870e-04,9.9996520e-03
3.0693540e-04,9.9996471e-03
3.1408480e-04,9.9996421e-03
3.2140080e-04,9.9996371e-03
3.2888720e-04,9.9996320e-03
3.3654800e-04,9.9996268e-03
3.4438720e-04,9.9996216e-03
3.5240900e-04,9.9996163e-03
3.6061770e-04,9.9996109e-03
3.6901750e-04,9.9996054e-03
3.7761300e-04,9.9995999e-03
3.8640880e-04,9.9995943e-03
3.9540940e-04,9.9995885e-03
4.0461970e-04,9.9995828e-03
4.1404450e-04,9.9995769e-03
4.2368880e-04,9.9995710e-03
4.3355780e-04,9.9995649e-03
4.4365660e-04,9.9995588e-03
4.5399070e-04,9.9995526e-03
4.6456550e-04,9.9995464e-03
4.7538670e-04,9.9995400e-03
4.8645980e-04,9.9995335e-03
4.9779090e-04,9.9995269e-03
5.0938600e-04,9.9995203e-03
5.2125110e-04,9.9995136e-03
5.3339260e-04,9.9995067e-03
5.4581690e-04,9.9994998e-03
5.5853060e-04,9.9994928e-03
5.7154050e-04,9.9994856e-03
5.8485340e-04,9.9994784e-03
5.9847630e-04,9.9994711e-03
6.1241660e-04,9.9994637e-03
6.2668170e-04,9.9994561e-03
6.4127900e-04,9.9994485e-03
