nu,B
0.0000000000e+00,-nan
3.6269838631e+18,8.4268984715e-10
7.2539677262e+18,3.3275929576e-09
1.0880951589e+19,7.3907994510e-09
1.4507935452e+19,1.2969518646e-08
1.8134919316e+19,2.0002078141e-08
2.1761903179e+19,2.8427922535e-08
2.5388887042e+19,3.8187611773e-08
2.9015870905e+19,4.9222819142e-08
3.2642854768e+19,6.1476328892e-08
3.6269838631e+19,7.4892033507e-08
3.9896822494e+19,8.9414930614e-08
4.3523806357e+19,1.0499111954e-07
4.7150790221e+19,1.2156779751e-07
5.0777774084e+19,1.3909325553e-07
5.4404757947e+19,1.5751687384e-07
5.8031741810e+19,1.7678911717e-07
6.1658725673e+19,1.9686152949e-07
6.5285709536e+19,2.1768672856e-07
6.8912693399e+19,2.3921840011e-07
7.2539677262e+19,2.6141129166e-07
7.6166661126e+19,2.8422120609e-07
7.9793644989e+19,3.0760499482e-07
8.3420628852e+19,3.3152055078e-07
8.7047612715e+19,3.5592680098e-07
9.0674596578e+19,3.8078369887e-07
9.4301580441e+19,4.0605221633e-07
9.7928564304e+19,4.3169433550e-07
1.0155554817e+20,4.5767304016e-07
1.0518253203e+20,4.8395230702e-07
1.0880951589e+20,5.1049709665e-07
1.1243649976e+20,5.3727334418e-07
1.1606348362e+20,5.6424794973e-07
1.1969046748e+20,5.9138876866e-07
1.2331745135e+20,6.1866460154e-07
1.2694443521e+20,6.4604518393e-07
1.3057141907e+20,6.7350117590e-07
1.3419840294e+20,7.0100415141e-07
1.3782538680e+20,7.2852658742e-07
1.4145237066e+20,7.5604185287e-07
1.4507935452e+20,7.8352419748e-07
1.4870633839e+20,8.1094874029e-07
1.5233332225e+20,8.3829145815e-07
1.5596030611e+20,8.6552917399e-07
1.5958728998e+20,8.9263954496e-07
1.6321427384e+20,9.1960105043e-07
1.6684125770e+20,9.4639297985e-07
1.7046824157e+20,9.7299542049e-07
1.7409522543e+20,9.9938924513e-07
1.7772220929e+20,1.0255560995e-06
1.8134919316e+20,1.0514783898e-06
1.8497617702e+20,1.0771392701e-06
1.8860316088e+20,1.1025226294e-06
1.9223014475e+20,1.1276130790e-06
1.9585712861e+20,1.1523959396e-06
1.9948411247e+20,1.1768572286e-06
2.0311109633e+20,1.2009836467e-06
2.0673808020e+20,1.2247625652e-06
2.1036506406e+20,1.2481820131e-06
2.1399204792e+20,1.2712306637e-06
2.1761903179e+20,1.2938978219e-06
2.2124601565e+20,1.3161734108e-06
2.2487299951e+20,1.3380479591e-06
2.2849998338e+20,1.3595125877e-06
2.3212696724e+20,1.3805589966e-06
2.3575395110e+20,1.4011794524e-06
2.3938093497e+20,1.4213667748e-06
2.4300791883e+20,1.4411143240e-06
2.4663490269e+20,1.4604159875e-06
2.5026188656e+20,1.4792661678e-06
2.5388887042e+20,1.4976597692e-06
2.5751585428e+20,1.5155921851e-06
2.6114283814e+20,1.5330592857e-06
2.6476982201e+20,1.5500574051e-06
2.6839680587e+20,1.5665833290e-06
2.7202378973e+20,1.5826342825e-06
2.7565077360e+20,1.5982079173e-06
2.7927775746e+20,1.6133023001e-06
2.8290474132e+20,1.6279159003e-06
2.8653172519e+20,1.6420475778e-06
2.9015870905e+20,1.6556965716e-06
2.9378569291e+20,1.6688624876e-06
2.9741267678e+20,1.6815452873e-06
3.0103966064e+20,1.6937452765e-06
3.0466664450e+20,1.7054630933e-06
3.0829362837e+20,1.7166996977e-06
3.1192061223e+20,1.7274563598e-06
3.1554759609e+20,1.7377346493e-06
3.1917457995e+20,1.7475364249e-06
3.2280156382e+20,1.7568638228e-06
3.2642854768e+20,1.7657192475e-06
3.3005553154e+20,1.7741053603e-06
3.3368251541e+20,1.7820250697e-06
3.3730949927e+20,1.7894815215e-06
3.4093648313e+20,1.7964780885e-06
3.4456346700e+20,1.8030183614e-06
3.4819045086e+20,1.8091061386e-06
3.5181743472e+20,1.8147454175e-06
3.5544441859e+20,1.8199403849e-06
3.5907140245e+20,1.8246954080e-06
3.6269838631e+20,1.8290150258e-06
3.6632537018e+20,1.8329039402e-06
3.6995235404e+20,1.8363670078e-06
3.7357933790e+20,1.8394092311e-06
3.7720632176e+20,1.8420357506e-06
3.8083330563e+20,1.8442518370e-06
3.8446028949e+20,1.8460628831e-06
3.8808727335e+20,1.8474743962e-06
3.9171425722e+20,1.8484919910e-06
3.9534124108e+20,1.8491213816e-06
3.9896822494e+20,1.8493683750e-06
4.0259520881e+20,1.8492388642e-06
4.0622219267e+20,1.8487388208e-06
4.0984917653e+20,1.8478742891e-06
4.1347616040e+20,1.8466513791e-06
4.1710314426e+20,1.8450762606e-06
4.2073012812e+20,1.8431551571e-06
4.2435711199e+20,1.8408943397e-06
4.2798409585e+20,1.8383001215e-06
4.3161107971e+20,1.8353788517e-06
4.3523806357e+20,1.8321369107e-06
4.3886504744e+20,1.8285807043e-06
4.4249203130e+20,1.8247166589e-06
4.4611901516e+20,1.8205512166e-06
4.4974599903e+20,1.8160908299e-06
4.5337298289e+20,1.8113419579e-06
4.5699996675e+20,1.8063110609e-06
4.6062695062e+20,1.8010045969e-06
4.6425393448e+20,1.7954290167e-06
4.6788091834e+20,1.7895907604e-06
4.7150790221e+20,1.7834962532e-06
4.7513488607e+20,1.7771519018e-06
4.7876186993e+20,1.7705640905e-06
4.8238885379e+20,1.7637391783e-06
