nu,B
0.0000000000e+00,-nan
3.6269838631e+18,3.8369806343e-10
7.2539677262e+18,1.5215570608e-09
1.0880951589e+19,3.3938968741e-09
1.4507935452e+19,5.9812675684e-09
1.8134919316e+19,9.2644493060e-09
2.1761903179e+19,1.3224452227e-08
2.5388887042e+19,1.7842516294e-08
2.9015870905e+19,2.3100111108e-08
3.2642854768e+19,2.8978935682e-08
3.6269838631e+19,3.5460918185e-08
3.9896822494e+19,4.2528215658e-08
4.3523806357e+19,5.0163213685e-08
4.7150790221e+19,5.8348526038e-08
5.0777774084e+19,6.7066994285e-08
5.4404757947e+19,7.6301687370e-08
5.8031741810e+19,8.6035901154e-08
6.1658725673e+19,9.6253157924e-08
6.5285709536e+19,1.0693720587e-07
6.8912693399e+19,1.1807201854e-07
7.2539677262e+19,1.2964179424e-07
7.6166661126e+19,1.4163095540e-07
7.9793644989e+19,1.5402414799e-07
8.3420628852e+19,1.6680624074e-07
8.7047612715e+19,1.7996232450e-07
9.0674596578e+19,1.9347771147e-07
9.4301580441e+19,2.0733793441e-07
9.7928564304e+19,2.2152874586e-07
1.0155554817e+20,2.3603611730e-07
1.0518253203e+20,2.5084623826e-07
1.0880951589e+20,2.6594551543e-07
1.1243649976e+20,2.8132057177e-07
1.1606348362e+20,2.9695824551e-07
1.1969046748e+20,3.1284558921e-07
1.2331745135e+20,3.2896986870e-07
1.2694443521e+20,3.4531856208e-07
1.3057141907e+20,3.6187935867e-07
1.3419840294e+20,3.7864015786e-07
1.3782538680e+20,3.9558906803e-07
1.4145237066e+20,4.1271440542e-07
1.4507935452e+20,4.3000469292e-07
1.4870633839e+20,4.4744865889e-07
1.5233332225e+20,4.6503523597e-07
1.5596030611e+20,4.8275355978e-07
1.5958728998e+20,5.0059296770e-07
1.6321427384e+20,5.1854299755e-07
1.6684125770e+20,5.3659338630e-07
1.7046824157e+20,5.5473406868e-07
1.7409522543e+20,5.7295517591e-07
1.7772220929e+20,5.9124703424e-07
1.8134919316e+20,6.0960016356e-07
1.8497617702e+20,6.2800527603e-07
1.8860316088e+20,6.4645327460e-07
1.9223014475e+20,6.6493525151e-07
1.9585712861e+20,6.8344248691e-07
1.9948411247e+20,7.0196644726e-07
