r,P,m
0.0000000000e+00,9.4753390000e+02,0.0000000000e+00
2.0061450000e-04,9.4753389577e+02,4.3634374470e-13
4.0122900000e-04,9.4753388713e+02,1.6207053328e-12
6.0184350000e-04,9.4753387481e+02,3.9270936741e-12
8.0245800000e-04,9.4753385888e+02,7.7295176645e-12
1.0030725000e-03,9.4753383936e+02,1.3401986181e-11
1.2036870000e-03,9.4753381628e+02,2.1318508076e-11
1.4043015000e-03,9.4753378962e+02,3.1853092175e-11
1.6049160000e-03,9.4753375940e+02,4.5379747269e-11
1.8055305000e-03,9.4753372562e+02,6.2272482112e-11
2.0061450000e-03,9.4753368828e+02,8.2905305415e-11
2.2067595000e-03,9.4753364738e+02,1.0765222584e-10
2.4073740000e-03,9.4753360292e+02,1.3688725201e-10
2.6079885000e-03,9.4753355490e+02,1.7098439246e-10
2.8086030000e-03,9.4753350333e+02,2.1031765570e-10
3.0092175000e-03,9.4753344819e+02,2.5526105014e-10
3.2098320000e-03,9.4753338949e+02,3.0618858416e-10
3.4104465000e-03,9.4753332724e+02,3.6347426602e-10
3.6110610000e-03,9.4753326143e+02,4.2749210393e-10
3.8116755000e-03,9.4753319206e+02,4.9861610601e-10
4.0122900000e-03,9.4753311913e+02,5.7722028027e-10
4.2129045000e-03,9.4753304265e+02,6.6367863464e-10
4.4135190000e-03,9.4753296261e+02,7.5836517697e-10
4.6141335000e-03,9.4753287901e+02,8.6165391497e-10
4.8147480000e-03,9.4753279185e+02,9.7391885626e-10
5.0153625000e-03,9.4753270113e+02,1.0955340083e-09
5.2159770000e-03,9.4753260686e+02,1.2268733786e-09
5.4165915000e-03,9.4753250902e+02,1.3683109743e-09
5.6172060000e-03,9.4753240763e+02,1.5202208026e-09
5.8178205000e-03,9.4753230269e+02,1.6829768705e-09
6.0184350000e-03,9.4753219418e+02,1.8569531848e-09
6.2190495000e-03,9.4753208212e+02,2.0425237523e-09
6.4196640000e-03,9.4753196650e+02,2.2400625795e-09
6.6202785000e-03,9.4753184732e+02,2.4499436729e-09
6.8208930000e-03,9.4753172459e+02,2.6725410388e-09
7.0215075000e-03,9.4753159829e+02,2.9082286832e-09
7.2221220000e-03,9.4753146844e+02,3.1573806121e-09
7.4227365000e-03,9.4753133503e+02,3.4203708312e-09
7.6233510000e-03,9.4753119807e+02,3.6975733462e-09
7.8239655000e-03,9.4753105754e+02,3.9893621625e-09
8.0245800000e-03,9.4753091346e+02,4.2961112852e-09
8.2251945000e-03,9.4753076582e+02,4.6181947196e-09
8.4258090000e-03,9.4753061462e+02,4.9559864703e-09
8.6264235000e-03,9.4753045987e+02,5.3098605420e-09
8.8270380000e-03,9.4753030156e+02,5.6801909393e-09
9.0276525000e-03,9.4753013969e+02,6.0673516663e-09
9.2282670000e-03,9.4752997426e+02,6.4717167270e-09
9.4288815000e-03,9.4752980528e+02,6.8936601254e-09
9.6294960000e-03,9.4752963273e+02,7.3335558648e-09
9.8301105000e-03,9.4752945663e+02,7.7917779488e-09
1.0030725000e-02,9.4752927698e+02,8.2687003804e-09
1.0231339500e-02,9.4752909376e+02,8.7646971625e-09
1.0431954000e-02,9.4752890699e+02,9.2801422977e-09
1.0632568500e-02,9.4752871666e+02,9.8154097886e-09
1.0833183000e-02,9.4752852277e+02,1.0370873637e-08
1.1033797500e-02,9.4752832532e+02,1.0946907845e-08
1.1234412000e-02,9.4752812432e+02,1.1543886415e-08
1.1435026500e-02,9.4752791976e+02,1.2162183347e-08
1.1635641000e-02,9.4752771164e+02,1.2802172643e-08
1.1836255500e-02,9.4752749997e+02,1.3464228303e-08
1.2036870000e-02,9.4752728473e+02,1.4148724328e-08
1.2237484500e-02,9.4752706594e+02,1.4856034719e-08
1.2438099000e-02,9.4752684359e+02,1.5586533475e-08
1.2638713500e-02,9.4752661769e+02,1.6340594596e-08
1.2839328000e-02,9.4752638822e+02,1.7118592082e-08
1.3039942500e-02,9.4752615520e+02,1.7920899930e-08
1.3240557000e-02,9.4752591862e+02,1.8747892142e-08
1.3441171500e-02,9.4752567849e+02,1.9599942713e-08
1.3641786000e-02,9.4752543479e+02,2.0477425644e-08
1.3842400500e-02,9.4752518754e+02,2.1380714931e-08
1.4043015000e-02,9.4752493673e+02,2.2310184573e-08
1.4243629500e-02,9.4752468237e+02,2.3266208566e-08
1.4444244000e-02,9.4752442444e+02,2.4249160906e-08
1.4644858500e-02,9.4752416296e+02,2.5259415592e-08
1.4845473000e-02,9.4752389792e+02,2.6297346618e-08
1.5046087500e-02,9.4752362933e+02,2.7363327981e-08
1.5246702000e-02,9.4752335717e+02,2.8457733676e-08
1.5447316500e-02,9.4752308146e+02,2.9580937698e-08
1.5647931000e-02,9.4752280219e+02,3.0733314041e-08
1.5848545500e-02,9.4752251937e+02,3.1915236701e-08
1.6049160000e-02,9.4752223298e+02,3.3127079670e-08
1.6249774500e-02,9.4752194304e+02,3.4369216944e-08
1.6450389000e-02,9.4752164954e+02,3.5642022514e-08
1.6651003500e-02,9.4752135249e+02,3.6945870374e-08
1.6851618000e-02,9.4752105187e+02,3.8281134516e-08
1.7052232500e-02,9.4752074770e+02,3.9648188932e-08
1.7252847000e-02,9.4752043997e+02,4.1047407614e-08
1.7453461500e-02,9.4752012869e+02,4.2479164553e-08
1.7654076000e-02,9.4751981384e+02,4.3943833739e-08
1.7854690500e-02,9.4751949544e+02,4.5441789164e-08
1.8055305000e-02,9.4751917348e+02,4.6973404817e-08
1.8255919500e-02,9.4751884797e+02,4.8539054688e-08
1.8456534000e-02,9.4751851889e+02,5.0139112765e-08
