nu,B
0.0000000000e+00,-nan
3.6269838631e+18,1.2416423092e-09
7.2539677262e+18,4.8892602213e-09
1.0880951589e+19,1.0828723237e-08
1.4507935452e+19,1.8948343310e-08
1.8134919316e+19,2.9138871888e-08
2.1761903179e+19,4.1293495779e-08
2.5388887042e+19,5.5307831843e-08
2.9015870905e+19,7.1079920517e-08
3.2642854768e+19,8.8510218185e-08
3.6269838631e+19,1.0750158840e-07
3.9896822494e+19,1.2795929197e-07
4.3523806357e+19,1.4979097591e-07
4.7150790221e+19,1.7290666132e-07
5.0777774084e+19,1.9721873012e-07
5.4404757947e+19,2.2264191072e-07
5.8031741810e+19,2.4909326269e-07
6.1658725673e+19,2.7649216029e-07
6.5285709536e+19,3.0476027506e-07
6.8912693399e+19,3.3382155738e-07
7.2539677262e+19,3.6360221706e-07
7.6166661126e+19,3.9403070297e-07
7.9793644989e+19,4.2503768179e-07
8.3420628852e+19,4.5655601576e-07
8.7047612715e+19,4.8852073969e-07
9.0674596578e+19,5.2086903700e-07
9.4301580441e+19,5.5354021505e-07
9.7928564304e+19,5.8647567958e-07
1.0155554817e+20,6.1961890848e-07
1.0518253203e+20,6.5291542479e-07
1.0880951589e+20,6.8631276902e-07
1.1243649976e+20,7.1976047079e-07
1.1606348362e+20,7.5321001985e-07
1.1969046748e+20,7.8661483649e-07
1.2331745135e+20,8.1993024144e-07
1.2694443521e+20,8.5311342514e-07
1.3057141907e+20,8.8612341659e-07
1.3419840294e+20,9.1892105172e-07
1.3782538680e+20,9.5146894132e-07
1.4145237066e+20,9.8373143852e-07
1.4507935452e+20,1.0156746061e-06
1.4870633839e+20,1.0472661830e-06
1.5233332225e+20,1.0784755515e-06
1.5596030611e+20,1.1092737028e-06
1.5958728998e+20,1.1396332034e-06
1.6321427384e+20,1.1695281610e-06
1.6684125770e+20,1.1989341902e-06
1.7046824157e+20,1.2278283780e-06
1.7409522543e+20,1.2561892491e-06
1.7772220929e+20,1.2839967318e-06
1.8134919316e+20,1.3112321227e-06
1.8497617702e+20,1.3378780526e-06
1.8860316088e+20,1.3639184516e-06
1.9223014475e+20,1.3893385149e-06
1.9585712861e+20,1.4141246676e-06
1.9948411247e+20,1.4382645311e-06
2.0311109633e+20,1.4617468886e-06
2.0673808020e+20,1.4845616507e-06
2.1036506406e+20,1.5066998220e-06
2.1399204792e+20,1.5281534673e-06
2.1761903179e+20,1.5489156779e-06
2.2124601565e+20,1.5689805389e-06
2.2487299951e+20,1.5883430958e-06
2.2849998338e+20,1.6069993224e-06
2.3212696724e+20,1.6249460884e-06
2.3575395110e+20,1.6421811271e-06
2.3938093497e+20,1.6587030047e-06
2.4300791883e+20,1.6745110882e-06
2.4663490269e+20,1.6896055155e-06
2.5026188656e+20,1.7039871643e-06
2.5388887042e+20,1.7176576227e-06
2.5751585428e+20,1.7306191598e-06
2.6114283814e+20,1.7428746961e-06
2.6476982201e+20,1.7544277757e-06
2.6839680587e+20,1.7652825377e-06
2.7202378973e+20,1.7754436891e-06
2.7565077360e+20,1.7849164772e-06
2.7927775746e+20,1.7937066636e-06
2.8290474132e+20,1.8018204980e-06
2.8653172519e+20,1.8092646924e-06
2.9015870905e+20,1.8160463969e-06
2.9378569291e+20,1.8221731743e-06
2.9741267678e+20,1.8276529772e-06
3.0103966064e+20,1.8324941241e-06
3.0466664450e+20,1.8367052766e-06
3.0829362837e+20,1.8402954177e-06
3.1192061223e+20,1.8432738297e-06
3.1554759609e+20,1.8456500732e-06
3.1917457995e+20,1.8474339668e-06
3.2280156382e+20,1.8486355669e-06
3.2642854768e+20,1.8492651483e-06
3.3005553154e+20,1.8493331854e-06
3.3368251541e+20,1.8488503342e-06
3.3730949927e+20,1.8478274139e-06
3.4093648313e+20,1.8462753904e-06
3.4456346700e+20,1.8442053592e-06
3.4819045086e+20,1.8416285295e-06
3.5181743472e+20,1.8385562086e-06
3.5544441859e+20,1.8349997869e-06
3.5907140245e+20,1.8309707233e-06
3.6269838631e+20,1.8264805313e-06
3.6632537018e+20,1.8215407656e-06
3.6995235404e+20,1.8161630090e-06
3.7357933790e+20,1.8103588601e-06
3.7720632176e+20,1.8041399211e-06
3.8083330563e+20,1.7975177867e-06
3.8446028949e+20,1.7905040328e-06
3.8808727335e+20,1.7831102060e-06
3.9171425722e+20,1.7753478140e-06
3.9534124108e+20,1.7672283151e-06
3.9896822494e+20,1.7587631101e-06
4.0259520881e+20,1.7499635329e-06
4.0622219267e+20,1.7408408421e-06
4.0984917653e+20,1.7314062139e-06
4.1347616040e+20,1.7216707339e-06
4.1710314426e+20,1.7116453904e-06
4.2073012812e+20,1.7013410677e-06
4.2435711199e+20,1.6907685396e-06
4.2798409585e+20,1.6799384639e-06
4.3161107971e+20,1.6688613764e-06
4.3523806357e+20,1.6575476863e-06
4.3886504744e+20,1.6460076706e-06
4.4249203130e+20,1.6342514703e-06
4.4611901516e+20,1.6222890857e-06
4.4974599903e+20,1.6101303728e-06
4.5337298289e+20,1.5977850398e-06
4.5699996675e+20,1.5852626435e-06
4.6062695062e+20,1.5725725868e-06
4.6425393448e+20,1.5597241153e-06
4.6788091834e+20,1.5467263159e-06
4.7150790221e+20,1.5335881134e-06
4.7513488607e+20,1.5203182698e-06
4.7876186993e+20,1.5069253815e-06
4.8238885379e+20,1.4934178788e-06
4.8601583766e+20,1.4798040241e-06
4.8964282152e+20,1.4660919110e-06
4.9326980538e+20,1.4522894636e-06
4.9689678925e+20,1.4384044361e-06
5.0052377311e+20,1.4244444118e-06
5.0415075697e+20,1.4104168035e-06
5.0777774084e+20,1.3963288531e-06
5.1140472470e+20,1.3821876318e-06
5.1503170856e+20,1.3680000405e-06
5.1865869243e+20,1.3537728099e-06
5.2228567629e+20,1.3395125016e-06
5.2591266015e+20,1.3252255084e-06
5.2953964402e+20,1.3109180552e-06
5.3316662788e+20,1.2965962000e-06
5.3679361174e+20,1.2822658353e-06
5.4042059560e+20,1.2679326889e-06
5.4404757947e+20,1.2536023252e-06
